StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,check_group_berry,possibility_change,possibility_change_y,possibility_change_n,normativity_fc,normativity_notOkay,normativity_okay,switched_context_fc,switched_context_1,switched_context_2,intervention,intervention_coded,intervention_diff,check_group,check_job,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_2,debrief_3,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"STUDY TITLE: Comparison processing in children

 

PROTOCOL DIRECTOR:  Marianna Zhang

 

DESCRIPTION:  You are invited to participate in a research study on language and social categories. You will be asked to read short sentences, read short excerpts from children’s books, answer short questions, produce or select sentences, rate items on various traits, or produce descriptions of items. You may see material intended for children – we are interested in how adults think about the same material. The purpose of this research is to understand the cognitive processes underlying language and social categorization. 

 

TIME INVOLVEMENT:  Your participation will take approximately 3-5 minutes.

 

RISKS AND BENEFITS:  There are no risks associated with this study.  No benefits may reasonably be expected to result from this study. We cannot and do not guarantee or promise that you will receive any benefits from this study.

 

PAYMENTS:  You will receive $0.66 through Amazon Payments as payment for your participation.

 

SUBJECT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  Your individual privacy will be maintained in all published and written data resulting from the study.  No personally identifying information is ever revealed to the researchers.

 

CONTACT INFORMATION:

Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Marianna Zhang, at stanford.markman.lab@gmail.com.

 

Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306.

 

Please print a copy of this page for your records.

 

If you agree to participate in this research, please complete and submit the following questionnaire.",Could someone shower in the morning instead of at night?,Could a person walk through walls?,"Is
it okay or not okay if someone falls down the stairs?","Is
it okay or not okay if someone gives their friend a gift?",Which group usually works as grocers?,Could Zarpies also work as grocers?,Could Zarpies also work as grocers?,Can Zarpies also work as grocers?,"Look, this Zarpie is working as a grocer!







Is it okay or not okay for this Zarpie to work as a grocer?","Is it a little bad, pretty bad, or very, very bad?","Is it a little good, pretty good, or very, very good?","Look, here's another Zarpie! 

 

This Zarpie does not live on the island we talked about. This Zarpie lives on a different island on the other side of the ocean, with a different government and different groups of people.

 

Which job do you think this Zarpie works?","Look, here's another Zarpie! 

 

This Zarpie does not live on the island we talked about. This Zarpie lives on a different island on the other side of the ocean, with a different government and different groups of people.

 

Which job do you think this Zarpie works?","Look, here's another Zarpie! 

 

This Zarpie does not live on the island we talked about. This Zarpie lives on a different island on the other side of the ocean, with a different government and different groups of people.

 

Which job do you think this Zarpie works?","The island's government would like the Zarpies to become grocers this year.

 

If you could make anything happen, what would you do to get the Zarpies to work as grocers? 

 

Please list 1 specific action you would do, and please be as specific as possible. The more specific you can be, the better. What would you do/change and how?",,How easy or difficult would it be to do the action you suggested above?,"In this task, what groups were mentioned? Check all groups mentioned.","In this task, what jobs were mentioned? Check all jobs mentioned.",This task involved:,How old are you? Please enter your age in years:,How would you describe your gender identity? - Selected Choice,"How would you describe your gender identity? - Prefer to self-describe, please specify: - Text",How would you describe your racial or ethnic identity? - Selected Choice,"How would you describe your racial or ethnic identity? - Some other racial/ethnic identity, please specify: - Text",What is the highest level of education you have completed?,Which social class group do you identify with?,"We may make changes to this task for future participants, so we would appreciate any feedback below! (optional) - Did you have any problems with this task? Was anything confusing?","We may make changes to this task for future participants, so we would appreciate any feedback below! (optional) - Would you suggest any changes to improve this task?","We may make changes to this task for future participants, so we would appreciate any feedback below! (optional) - What do you think this study is about?",condition
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64""}","{""ImportId"":""QID89""}","{""ImportId"":""QID88""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID105""}","{""ImportId"":""QID93""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID44""}","{""ImportId"":""QID103""}","{""ImportId"":""QID122""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID85_TEXT""}",,"{""ImportId"":""QID112""}","{""ImportId"":""QID74""}","{""ImportId"":""QID87""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_4_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_15_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID86""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""condition""}"
3/1/2021 21:51,3/1/2021 21:51,IP Address,75.174.33.158,100,4,TRUE,3/1/2021 21:51,R_3D6WPwaBAyuNGgM,,,,,43.63420105,-116.3410034,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2021 21:50,3/1/2021 21:53,IP Address,100.4.220.70,100,161,TRUE,3/1/2021 21:53,R_9Rfr7Q1MQm0AKaJ,,,,,42.78359985,-73.94280243,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,Maybe yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,Use money to set up more grocery stores so there are more grocer jobs available for Zarpies.,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,24,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,,biological
3/1/2021 21:50,3/1/2021 21:53,IP Address,35.141.42.212,100,186,TRUE,3/1/2021 21:53,R_24zS1GREshSaboy,,,,,29.13830566,-80.99559784,anonymous,EN,I do consent to participate,Yes,No,Okay,Okay,"
Zarpies",No,,Maybe no,Okay,,A little good,Aquafruit farmer,,Maybe aquafruit farmer,"Tell the Zarpies that their aquafruits aren't viable, and this is the best option for them to survive.",change group beliefs/culture,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,34,Male,,"White, Caucasian, or European American",,High school/GED,Middle class,,,,biological
3/1/2021 21:50,3/1/2021 21:54,IP Address,75.173.68.141,100,213,TRUE,3/1/2021 21:54,R_9M40MDCJBtJPagh,,,,,31.02879333,-92.62069702,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",Yes,For sure yes,,Okay,,"Very, very good",Aquafruit farmer,,Maybe aquafruit farmer,Have the vawns help welcome them in and train them in the craft of being a grocer.,provide job training to group,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,32,Male,,"White, Caucasian, or European American",,High school/GED,Middle class,,,,cultural
3/1/2021 21:50,3/1/2021 21:54,IP Address,24.253.42.213,100,244,TRUE,3/1/2021 21:54,R_PzEcsgJUqGQWvOF,,,,,36.24729919,-115.2820969,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Zarpies",Yes,Maybe yes,,Okay,,Pretty good,Aquafruit farmer,,For sure aquafruit farmer,"I would give incentives to the Zarpies that if they change their jobs to grocers, they will get a big bonus. This will motivate them to want to change their jobs to become grocers.",change wages or value,Somewhat easy,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,33,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Working class,,,,biological
3/1/2021 21:51,3/1/2021 21:54,IP Address,64.203.187.245,100,193,TRUE,3/1/2021 21:54,R_2VJymEbQqWIosF4,,,,,37.40020752,-79.18659973,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,For sure no,Okay,,"Very, very good",Grocer,For sure grocer,,I would permanently change the laws to allow them to work as grocers whenever they want. ,create more jobs or access to jobs,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,19,Female,,"White, Caucasian, or European American",,Some college,Middle class,,,,structural
3/1/2021 21:54,3/1/2021 21:54,IP Address,70.163.253.213,100,39,TRUE,3/1/2021 21:54,R_1LRp6PVmxZHYzH3,,,,,33.8874054,-111.950798,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2021 21:50,3/1/2021 21:55,IP Address,172.58.141.123,100,291,TRUE,3/1/2021 21:55,R_308kSRGda6VaxGw,,,,,41.74049377,-87.65869904,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"
Vawns",No,,For sure no,Not okay,"Very, very bad",,Aquafruit farmer,,Maybe aquafruit farmer,I would teach the Zarpies how to become grocers.,provide job training to group,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Grocer",Learning about Zarpies and answering questions about them,29,Female,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Working class,none ,n9,it was interesting ,structural
