StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,acceptability,acceptability_notOk,acceptability_ok,diff,switched_context,expl_rate_1,expl_rate_2,expl_rate_3,intervention,intervention_diff,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"STUDY TITLE: Comparison processing in children

 

PROTOCOL DIRECTOR:  Marianna Zhang

 

DESCRIPTION:  You are invited to participate in a research study on language and social categories. You will be asked to read short sentences, read short excerpts from children’s books, answer short questions, produce or select sentences, rate items on various traits, or produce descriptions of items. You may see material intended for children – we are interested in how adults think about the same material. The purpose of this research is to understand the cognitive processes underlying language and social categorization. 

 

TIME INVOLVEMENT:  Your participation will take approximately 5-7 minutes.

 

RISKS AND BENEFITS:  There are no risks associated with this study.  No benefits may reasonably be expected to result from this study. We cannot and do not guarantee or promise that you will receive any benefits from this study.

 

PAYMENTS:  You will receive $1.00 through Amazon Payments as payment for your participation.

 

SUBJECT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  Your individual privacy will be maintained in all published and written data resulting from the study.  No personally identifying information is ever revealed to the researchers.

 

CONTACT INFORMATION:

Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Marianna Zhang, at stanford.markman.lab@gmail.com.

 

Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306.

 

Please print a copy of this page for your records.

 

If you agree to participate in this research, please complete and submit the following questionnaire.",Is it okay or not okay that Zarpies mostly work as aquafruit farmers and Vawns mostly work as distrbution managers?,"Is it a little bad, pretty bad, or very, very bad?","Is it a little good, pretty good, or very, very good?",Are Zarpies and Vawns more similar or more different from each other?,"Look, here's another Zarpie! 

 

This Zarpie does not live on the island of Zarpies and Vawns. This Zarpie was born and raised in a different island country, with a different government, different employment policies, and different groups of people. They live and work in that different island country.


  
What job do you think this Zarpie works in their country?","A reporter asks the island government why many Zarpies work as aquafruit farmers.



How satisfying would you rate each of these possible explanations provided by the government? - ""Zarpies prefer to work as aquafruit farmers.""","A reporter asks the island government why many Zarpies work as aquafruit farmers.



How satisfying would you rate each of these possible explanations provided by the government? - ""Zarpies are best-suited to working as aquafruit farmers.""","A reporter asks the island government why many Zarpies work as aquafruit farmers.



How satisfying would you rate each of these possible explanations provided by the government? - ""Zarpies have few other options than to be aquafruit farmers.""","The island government would like to get more Zarpies to work as distribution managers, rather than aquafruit farmers.

 

If you could make anything happen, what would you do to get the Zarpies to work as distribution managers? 

 

Please list 1 specific action you would do, and please be as specific as possible. The more specific you can be, the better. What would you do/change and how?",How easy or difficult would it be to do the action you suggested above?,"In this task, what groups were mentioned? Check all groups mentioned.","In this task, what jobs were mentioned? Check all jobs mentioned.",This task involved:,How old are you? - Selected Choice,How old are you? - Please enter your age in years: - Text,How would you describe your gender identity? - Selected Choice,"How would you describe your gender identity? - Prefer to self-describe, please specify: - Text",How would you describe your racial or ethnic identity? - Selected Choice,"How would you describe your racial or ethnic identity? - Some other racial/ethnic identity, please specify: - Text",What is the highest level of education you have completed?,Which social class group do you identify with?,"We may make changes to this task for future participants, so we would appreciate any feedback below! (optional) - Did you have any problems or confusion with this task? Could anything be improved?","We may make changes to this task for future participants, so we would appreciate any feedback below! (optional) - What do you think this study is about?",condition
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64""}","{""ImportId"":""QID44""}","{""ImportId"":""QID103""}","{""ImportId"":""QID122""}","{""ImportId"":""QID126""}","{""ImportId"":""QID117""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID135_2""}","{""ImportId"":""QID135_8""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID112""}","{""ImportId"":""QID74""}","{""ImportId"":""QID87""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID68_2_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_4_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_15_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID86""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_3""}","{""ImportId"":""condition""}"
2021-04-26 16:21:22,2021-04-26 16:21:36,IP Address,172.58.110.231,100,14,True,2021-04-26 16:21:37,R_1gi5YszL0V2YpKE,,,,,32.731903076171875,-96.90570068359375,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 16:21:51,2021-04-26 16:24:19,IP Address,50.27.203.15,100,148,True,2021-04-26 16:24:20,R_Qmsz52OUXspeCad,,,,,39.78790283203125,-94.8029022216796875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Somewhat satisfying,Slightly satisfying,Train the Zarpies how to work in the craft of distribution,Somewhat difficult,"Zarpies,Vawns","Distribution manager,Strawberry farmer",Learning about Zarpies and answering questions about them,Please enter your age in years:,26,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,cultural_neg
2021-04-26 16:22:03,2021-04-26 16:24:34,IP Address,73.19.183.5,100,151,True,2021-04-26 16:24:34,R_3ESwrp6qV9xwArv,,,,,30.45660400390625,-84.32230377197265625,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Slightly satisfying,Not at all satisfying,Not at all satisfying,I would have some start interning to see if they would like the work.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,37,Female,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,cultural_pos
2021-04-26 16:24:26,2021-04-26 16:26:56,IP Address,71.161.119.136,100,150,True,2021-04-26 16:26:57,R_3oZ5kAYejRh5jCa,,,,,44.497100830078125,-67.9503021240234375,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Very satisfying,Somewhat satisfying,I would make it so they could sell the fruit they harvested themselves.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,27,Male,,"White, Caucasian, or European American",,High school/GED,Working class,Good study,To gather feedback on scenarios,structural
2021-04-26 16:23:54,2021-04-26 16:27:09,IP Address,75.188.185.65,100,194,True,2021-04-26 16:27:09,R_2frkEn9jAehbtiN,,,,,41.4452972412109375,-81.6990966796875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Not at all satisfying,"I think since the wage is already better, maybe allowing them to have to work less, if they become a distribution manager instead of an aquafruit farmer.",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,36,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,biological_pos
2021-04-26 16:23:30,2021-04-26 16:27:34,IP Address,73.189.147.24,100,243,True,2021-04-26 16:27:35,R_325BkssYIvnYe6d,,,,,38.546295166015625,-122.8047027587890625,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,Likely different job,Very satisfying,Somewhat satisfying,Not at all satisfying,"I would institute a work change program, mandating some Zarpies to work different jobs and get grants to do so.",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,57,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,"views of haves and have nots, or classes",biological_neg
2021-04-26 16:22:29,2021-04-26 16:28:02,IP Address,97.81.54.216,100,332,True,2021-04-26 16:28:02,R_9vpP0sSL6K2GRY5,,,,,36.3031005859375,-88.31259918212890625,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,For sure different job,Somewhat satisfying,Not at all satisfying,Not at all satisfying,I would educate the Zarpies to the benefits (higher pay) and safety (no sharks) of being a food distribution manager.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,35,Male,,"White, Caucasian, or European American",,High school/GED,Working class,No on the contrary it was extremely easy to comprehend and complete.,I think it was about group perceptions.,cultural_neg
2021-04-26 16:24:49,2021-04-26 16:28:07,IP Address,172.56.22.209,100,197,True,2021-04-26 16:28:07,R_1QoyDtVbF60IIPh,,,,,41.5381927490234375,-72.8007965087890625,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely aquafruit farmer,Very satisfying,Very satisfying,Not at all satisfying,"Free education to become managers if they chose too ",Somewhat easy,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,Please enter your age in years:,36,Male,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,None,"How we view social groups ",cultural_pos
