StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,check_group_berry,possibility_change,normativity_fc,normativity_notOkay,normativity_okay,intervention,intervention_diff,check_group,check_berry,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_2,debrief_3,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"STUDY TITLE: Comparison processing in children

 

PROTOCOL DIRECTOR:  Marianna Zhang

 

DESCRIPTION:  You are invited to participate in a research study on language and social categories. You will be asked to read short sentences, read short excerpts from children’s books, answer short questions, produce or select sentences, rate items on various traits, or produce descriptions of items. You may see material intended for children – we are interested in how adults think about the same material. The purpose of this research is to understand the cognitive processes underlying language and social categorization. 

 

TIME INVOLVEMENT:  Your participation will take approximately 3-5 minutes.

 

RISKS AND BENEFITS:  There are no risks associated with this study.  No benefits may reasonably be expected to result from this study. We cannot and do not guarantee or promise that you will receive any benefits from this study.

 

PAYMENTS:  You will receive $0.66 through Amazon Payments as payment for your participation.

 

SUBJECT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  Your individual privacy will be maintained in all published and written data resulting from the study.  No personally identifying information is ever revealed to the researchers.

 

CONTACT INFORMATION:

Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Marianna Zhang, at stanford.markman.lab@gmail.com.

 

Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306.

 

Please print a copy of this page for your records.

 

If you agree to participate in this research, please complete and submit the following questionnaire.",Can people shower in the morning instead of at night?,Can people walk through walls?,"Is
it okay or not okay if someone steals money from their friend?","Is
it okay or not okay if someone gives their friend a gift?",Which group usually eats okinberries?,"Can Zarpies also eat okinberries?

       ?","Look, here’s a Zarpie who eats okinberries.





Is it okay or not okay for this Zarpie to eat okinberries?","Is it a little bad, pretty bad, or very, very bad?","Is it a little good, pretty good, or very, very good?","If you could make anything happen, what would you do, so that the Zarpies can eat okinberries? Please list at least 1 specific action you would do.","How easy or difficult would it be to do the action you suggested above? If you suggested more than one action, just rate the first action you listed.","In this task, what groups were mentioned? Check all groups mentioned.","In this task, what berries were mentioned? Check all berries mentioned.",This task involved:,How old are you? Please enter your age in years:,How would you describe your gender identity? - Selected Choice,"How would you describe your gender identity? - Prefer to self-describe, please specify: - Text",How would you describe your racial or ethnic identity? - Selected Choice,"How would you describe your racial or ethnic identity? - Some other racial/ethnic identity, please specify: - Text",What is the highest level of education you have completed?,Which social class group do you identify with?,"We are still testing and making changes to this task, so we would appreciate any feedback below! (optional) - Did you have any problems with this survey? Was anything confusing?","We are still testing and making changes to this task, so we would appreciate any feedback below! (optional) - Would you suggest any changes to improve this survey?","We are still testing and making changes to this task, so we would appreciate any feedback below! (optional) - What do you think this study is about?",condition
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64""}","{""ImportId"":""QID89""}","{""ImportId"":""QID88""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID105""}","{""ImportId"":""QID93""}","{""ImportId"":""QID44""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID112""}","{""ImportId"":""QID74""}","{""ImportId"":""QID87""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_4_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_15_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID86""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""condition""}"
2020-10-12 09:24:51,2020-10-12 09:26:28,IP Address,72.185.190.207,100,97,True,2020-10-12 09:26:28,R_3q9ldoyUCKGbduP,,,,,28.2136993408203125,-82.68090057373046875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe yes,Okay,,Pretty good,have them share with the varns,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,47,Male,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,none,none,not sure,structural
2020-10-12 09:24:55,2020-10-12 09:27:02,IP Address,99.130.151.189,100,126,True,2020-10-12 09:27:02,R_OuRy48eg8peAAhz,,,,,35.710906982421875,-78.65940093994140625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Make them not alllergic to okinberries.,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,46,Female,,Black/African American,,"Bachelor's (B.A., B.S.)",Some college,no.,nothing.,A story of two monsters on a planet.,internalist_biological
2020-10-12 09:24:49,2020-10-12 09:27:08,IP Address,99.155.202.109,100,138,True,2020-10-12 09:27:08,R_1F56CuOXM9Ixl84,,,,,33.1555023193359375,-96.49810028076171875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Maybe no,Not okay,A little bad,,Tell them nothing bad will happen if they eat the berries,Somewhat easy,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,45,Female,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,no issues,no suggestions,literally being able or not able to do something and if it's okay if you change habits,internalist_cultural
2020-10-12 09:25:06,2020-10-12 09:27:32,IP Address,108.254.224.255,100,146,True,2020-10-12 09:27:32,R_xD6owDkZjXQeRNf,,,,,34.632293701171875,-89.885498046875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,Pretty bad,,Convert the okinberries to pogoberries,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,30,Female,,White/European American,,Some college,High school/GED,No,No,I'm not sure,internalist_biological
2020-10-12 09:25:02,2020-10-12 09:27:43,IP Address,108.64.75.194,100,160,True,2020-10-12 09:27:43,R_1odpoXFBR28BIt4,,,,,38.0662994384765625,-122.165496826171875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,I would make the okinberries give good luck.,Somewhat difficult,"Zarpies,Glerks","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,37,Female,,White/European American,,"Bachelor's (B.A., B.S.)",Some college,no,no,no,internalist_cultural
2020-10-12 09:25:03,2020-10-12 09:28:09,IP Address,73.26.185.245,100,185,True,2020-10-12 09:28:09,R_3NDlBjf11TdhPGv,,,,,32.28790283203125,-106.75910186767578125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Okay,,Pretty good,I would ask if the Vawns can send some okinberries,Somewhat difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,57,Female,,White/European American,,"Master's (M.A., M.S.)",High school/GED,No problems,I can't think of changes,Teaching children to reason,structural
2020-10-12 09:25:00,2020-10-12 09:28:09,IP Address,98.192.156.105,100,188,True,2020-10-12 09:28:09,R_2CPcbk6fKzEbdsF,,,,,30.5402069091796875,-84.14459991455078125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,Change the color,Very difficult,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,43,Female,,"White/European American,Black/African American,Asian/Asian American",,Some college,Some college,,,,internalist_biological
2020-10-12 09:25:28,2020-10-12 09:28:09,IP Address,73.152.56.226,100,161,True,2020-10-12 09:28:09,R_1lnMG6gF3qIDQ28,,,,,37.5146942138671875,-77.5034027099609375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",For sure no,Not okay,"Very, very bad",,too far away,Very difficult,Zarpies,Pogoberries,Learning about Zarpies and answering questions about them,34,Male,,"White/European American,Black/African American",,"Bachelor's (B.A., B.S.)",Some college,no,no,how we view foofd and what peopel eat,structural
