StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,calibrate_poss_1,calibrate_poss_2,calibrate_norm_1,calibrate_norm_2,check_group_berry,possibility_change,possibility_change_y,possibility_change_n,normativity_fc,normativity_notOkay,normativity_okay,switched_context_fc,switched_context_1,switched_context_2,intervention,intervention_diff,check_normativity,check_group,check_berry,check_task,age,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_2,debrief_3,condition
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"STUDY TITLE: Comparison processing in children

 

PROTOCOL DIRECTOR:  Marianna Zhang

 

DESCRIPTION:  You are invited to participate in a research study on language and social categories. You will be asked to read short sentences, read short excerpts from children’s books, answer short questions, produce or select sentences, rate items on various traits, or produce descriptions of items. You may see material intended for children – we are interested in how adults think about the same material. The purpose of this research is to understand the cognitive processes underlying language and social categorization. 

 

TIME INVOLVEMENT:  Your participation will take approximately 3-5 minutes.

 

RISKS AND BENEFITS:  There are no risks associated with this study.  No benefits may reasonably be expected to result from this study. We cannot and do not guarantee or promise that you will receive any benefits from this study.

 

PAYMENTS:  You will receive $0.66 through Amazon Payments as payment for your participation.

 

SUBJECT'S RIGHTS:  If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate.  You have the right to refuse to answer particular questions.  Your individual privacy will be maintained in all published and written data resulting from the study.  No personally identifying information is ever revealed to the researchers.

 

CONTACT INFORMATION:

Questions:  If you have any questions, concerns or complaints about this research, its procedures, risks and benefits, contact the Protocol Director, Marianna Zhang, at stanford.markman.lab@gmail.com.

 

Independent Contact:  If you are not satisfied with how this study is being conducted, or if you have any concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at (650) 723-2480 or toll free at 1-866-680-2906.  You can also write to the Stanford IRB, Stanford University, 3000 El Camino Real, Five Palo Alto Square, 4th Floor, Palo Alto, CA 94306.

 

Please print a copy of this page for your records.

 

If you agree to participate in this research, please complete and submit the following questionnaire.",Can people shower in the morning instead of at night?,Can people walk through walls?,"Is
it okay or not okay if someone falls down the stairs?","Is
it okay or not okay if someone gives their friend a gift?",Which group usually eats okinberries?,"Can Zarpies also eat okinberries?

       ?","Can Zarpies also eat okinberries?

       ?","Can Zarpies also eat okinberries?

       ?","Look, this Zarpie is eating okinberries.





Is it okay or not okay for this Zarpie to eat okinberries?","Is it a little bad, pretty bad, or very, very bad?","Is it a little good, pretty good, or very, very good?","Look, here's another Zarpie. This Zarpie lives on the other side of the planet. 

        



Which berries do you think this Zarpie eats?","Look, here's another Zarpie. This Zarpie lives on the other side of the planet. 

        



Which berries do you think this Zarpie eats?","Look, here's another Zarpie. This Zarpie lives on the other side of the planet. 

        



Which berries do you think this Zarpie eats?","If you could make anything happen, what would you do, so that the Zarpies can eat okinberries? 

 

Please list at least 1 specific action you would do, and please be as specific as possible.","How easy or difficult would it be to do the action you suggested above? If you suggested more than one action, just rate the first action you listed.","Does ""not okay"" mean that someone should or should not do something?","In this task, what groups were mentioned? Check all groups mentioned.","In this task, what berries were mentioned? Check all berries mentioned.",This task involved:,How old are you? Please enter your age in years:,How would you describe your gender identity? - Selected Choice,"How would you describe your gender identity? - Prefer to self-describe, please specify: - Text",How would you describe your racial or ethnic identity? - Selected Choice,"How would you describe your racial or ethnic identity? - Some other racial/ethnic identity, please specify: - Text",What is the highest level of education you have completed?,Which social class group do you identify with?,"We may make changes to this task for future participants, so we would appreciate any feedback below! (optional) - Did you have any problems with this task? Was anything confusing?","We may make changes to this task for future participants, so we would appreciate any feedback below! (optional) - Would you suggest any changes to improve this task?","We may make changes to this task for future participants, so we would appreciate any feedback below! (optional) - What do you think this study is about?",condition
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64""}","{""ImportId"":""QID89""}","{""ImportId"":""QID88""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID105""}","{""ImportId"":""QID93""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID44""}","{""ImportId"":""QID103""}","{""ImportId"":""QID122""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID112""}","{""ImportId"":""QID121""}","{""ImportId"":""QID74""}","{""ImportId"":""QID87""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID69_4_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID70_15_TEXT""}","{""ImportId"":""QID71""}","{""ImportId"":""QID86""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""condition""}"
2020-11-13 19:33:01,2020-11-13 19:33:11,IP Address,73.248.134.5,100,9,True,2020-11-13 19:33:12,R_BP2ksSJrxDydvyx,,,,,39.7505035400390625,-75.33229827880859375,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 19:34:18,2020-11-13 19:34:53,IP Address,76.209.100.118,100,34,True,2020-11-13 19:34:53,R_1gGU6PAXEeevKcF,,,,,33.9134979248046875,-84.6858978271484375,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13 19:32:56,2020-11-13 19:35:05,IP Address,172.88.194.181,100,128,True,2020-11-13 19:35:05,R_3QFT4EtqNHblVPy,,,,,33.907501220703125,-117.78659820556640625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,Show them that it's not bad to eat it.,Somewhat easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,28,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,n/a,n/a,Not sure to be honest.,internalist_cultural
2020-11-13 19:33:06,2020-11-13 19:35:31,IP Address,208.53.119.60,100,145,True,2020-11-13 19:35:32,R_DdwY6czv74O1uxz,,,,,47.4232940673828125,-122.58499908447265625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,Create something to help the Zarpies digest okinberries.,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,24,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,,,internalist_biological
2020-11-13 19:33:08,2020-11-13 19:35:42,IP Address,172.11.220.144,100,153,True,2020-11-13 19:35:42,R_3GjGtIJmgVVaWnx,,,,,39.643798828125,-84.1743011474609375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,Pretty good,"

Pogoberries",,Maybe pogoberries,create a berry farm,Very difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,38,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,no,no,don't know,structural
2020-11-13 19:33:15,2020-11-13 19:36:36,IP Address,65.129.107.169,100,200,True,2020-11-13 19:36:36,R_2PgJSRM5IOygDZD,,,,,43.65020751953125,-116.434295654296875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"
Okinberries",Maybe okinberries,,Ship okinberries to the Zarpies using vehicles.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,43,Male,,"White, Caucasian, or European American",,High school/GED,Poor,No problems,No suggestions,I don't know,structural
2020-11-13 19:33:12,2020-11-13 19:37:20,IP Address,24.147.78.77,100,247,True,2020-11-13 19:37:20,R_1Qtt8xAvzvkQr6B,,,,,42.771697998046875,-71.5131988525390625,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",Yes,Maybe yes,,Okay,,A little good,"
Okinberries",Maybe okinberries,,convince them that it is OK and not bad to eat these berries,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,63,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,bit confused about being OK to do something if they thought it was unlucky or bad,not sure,not sure,internalist_cultural
2020-11-13 19:34:47,2020-11-13 19:37:33,IP Address,71.125.80.26,100,166,True,2020-11-13 19:37:33,R_23dhGpGR3sTLK7C,,,,,40.71820068359375,-74.04759979248046875,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"
Okinberries",For sure okinberries,,grow plantts on that side that harvest okinberries,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,21,Male,,South or Southeast Asian,,"Bachelor's (B.A., B.S.)",Poor,,,,structural
2020-11-13 19:33:49,2020-11-13 19:37:40,IP Address,107.131.95.173,100,230,True,2020-11-13 19:37:40,R_1Lpni7ZtoLqoPmY,,,,,33.51190185546875,-101.93160247802734375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Not okay,"Very, very bad",,"

Pogoberries",,For sure pogoberries,"I would make sure that they did not get sick with eating them. ",Very easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,40,Male,,"White, Caucasian, or European American",,High school/GED,Working class,no,nope,"perceptions ",internalist_biological
2020-11-13 19:33:38,2020-11-13 19:37:43,IP Address,104.180.12.247,100,244,True,2020-11-13 19:37:44,R_1puqcUGkEix1BcJ,,,,,34.1056976318359375,-118.3285980224609375,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,Maybe no,Okay,,Pretty good,"
Okinberries",For sure okinberries,,Export okinberries from the south and import them to the north,Very easy,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,31,Male,,Hispanic or Latino/a,,Some college,Working class,No,None,Problem solving in a story.,structural
2020-11-13 19:33:47,2020-11-13 19:37:46,IP Address,76.221.209.152,100,238,True,2020-11-13 19:37:46,R_XFFjAeA6zOFv2Ct,,,,,42.3180999755859375,-85.17559814453125,anonymous,EN,I do consent to participate,Yes,No,Not okay,Okay,"

Vawns",No,,For sure no,Not okay,"Very, very bad",,"

Pogoberries",,Maybe pogoberries,I would maybe cook the okinberries or find a way to prepare them that removes whatever negative effect they have on the Zarpies normally.,Somewhat difficult,Should not,"Zarpies,Vawns","Pogoberries,Okinberries",Learning about Zarpies and answering questions about them,34,"Prefer to self-describe, please specify:",nonbinary,East Asian,,Some college,Working class,n/a,"throwing four different nonsense words at us at one time was a little confusing and might be especially confusing for younger people (assuming that part wasn't a lie). I would try to be alliterative with the names so it's easier to memorize, like the Zarpies eat zoloberries or something like that.",I have no idea? Language?,internalist_biological
